object_index,object_name,type,kind,samples,inside,near_occupied,coverage_inside,mean_distance_to_occupied_m,max_distance_to_occupied_m,occupied_samples,free_samples,unknown_samples,outside_samples
2,,PicketFence,fence,29,29,0,0.0,3.1111337877491247,4.604345773288535,0,0,29,0
1,,PicketFence,fence,29,29,28,0.9655172413793104,0.0813261992218442,0.6000000000000001,14,4,11,0
3,,PicketFence,fence,22,22,22,1.0,0.06871833631249954,0.30000000000000004,6,16,0,0
4,,PicketFence,fence,22,22,22,1.0,0.009090909090909092,0.05,18,3,1,0
5,,StreetLight,obstacle,1,1,0,0.0,1.6263455967290594,1.6263455967290594,0,1,0,0
8,,StreetLight,obstacle,1,1,0,0.0,1.8034688796871432,1.8034688796871432,0,0,1,0
19,,TrafficCone,obstacle,1,1,0,0.0,0.6184658438426491,0.6184658438426491,0,1,0,0
6,,StreetLight,obstacle,1,1,1,1.0,0.1,0.1,0,1,0,0
7,,StreetLight,obstacle,1,1,1,1.0,0.05,0.05,0,0,1,0
9,,Bench,obstacle,1,1,1,1.0,0.07071067811865477,0.07071067811865477,0,1,0,0
10,,Bench,obstacle,1,1,1,1.0,0.07071067811865477,0.07071067811865477,0,1,0,0
11,,StoneBench,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
12,,PublicBin,obstacle,1,1,1,1.0,0.14142135623730953,0.14142135623730953,0,0,1,0
13,,Cypress,obstacle,1,1,1,1.0,0.40311288741492746,0.40311288741492746,0,0,1,0
14,,Cypress,obstacle,1,1,1,1.0,0.36055512754639896,0.36055512754639896,0,0,1,0
15,,Cypress,obstacle,1,1,1,1.0,0.38078865529319544,0.38078865529319544,0,0,1,0
16,,PalmTree,obstacle,1,1,1,1.0,0.25,0.25,0,0,1,0
17,,TrafficCone,obstacle,1,1,1,1.0,0.2692582403567252,0.2692582403567252,0,1,0,0
18,,TrafficCone,obstacle,1,1,1,1.0,0.05,0.05,0,1,0,0
20,,TrafficCone,obstacle,1,1,1,1.0,0.21213203435596426,0.21213203435596426,0,1,0,0
