edge,from_x,from_y,to_x,to_y,path_cells,geodesic_m,min_clearance_m,inserted
0,1.705,-1.12,-0.495,0.13,45,2.718,2.192,1
1,-0.495,0.13,-0.495,0.68,12,0.55,2.018,0
2,-0.495,0.68,0.105,0.68,13,0.6,2.018,0
3,0.105,0.68,-0.695,4.38,75,4.031,1.346,2
4,-0.695,4.38,-0.995,4.68,7,0.424,1.226,0
5,-0.995,4.68,1.105,6.88,53,3.304,0.35,2
6,1.105,6.88,2.255,10.43,72,4.026,0.35,2
7,2.255,10.43,3.055,11.23,17,1.131,0.9,0
8,3.055,11.23,3.305,13.53,47,2.404,0.95,1
9,3.305,13.53,3.555,13.53,6,0.25,1.282,0
10,3.555,13.53,3.555,11.38,44,2.15,0.7,1
11,3.555,11.38,3.305,9.63,36,1.854,0.762,1
12,3.305,9.63,3.805,3.93,145,7.904,0.35,5
13,3.805,3.93,6.905,5.43,63,3.721,0.35,2
14,6.905,5.43,2.705,3.53,85,4.987,0.35,3
15,2.705,3.53,5.605,0.88,110,6.278,0.35,4
16,5.605,0.88,7.505,0.68,39,1.983,0.781,1
17,7.505,0.68,11.505,0.68,81,4.0,1.834,2
18,11.505,0.68,12.605,0.68,23,1.1,2.706,0
19,12.605,0.68,12.555,0.53,4,0.171,3.182,0
20,12.555,0.53,11.505,0.43,22,1.091,2.878,0
21,11.505,0.43,7.505,0.43,81,4.0,2.072,2
22,7.505,0.43,5.305,-0.22,45,2.469,0.776,1
23,5.305,-0.22,3.655,-3.52,67,3.983,0.35,2
24,3.655,-3.52,3.555,-3.97,10,0.491,0.854,0
25,3.555,-3.97,1.205,-6.97,61,3.973,1.101,2
26,1.205,-6.97,0.855,-7.32,8,0.495,2.704,0
27,0.855,-7.32,2.755,-10.52,65,3.987,2.797,2
28,2.755,-10.52,3.555,-11.32,17,1.131,2.482,0
29,3.555,-11.32,3.555,-12.62,27,1.3,2.482,0
30,3.555,-12.62,1.155,-11.22,49,2.98,3.1,1
31,1.155,-11.22,0.955,-11.37,5,0.262,4.353,0
32,0.955,-11.37,-0.495,-12.47,30,1.906,3.289,1
33,-0.495,-12.47,-0.495,-11.32,24,1.15,2.957,0
34,-0.495,-11.32,-0.495,-7.32,81,4.0,1.787,2
35,-0.495,-7.32,-0.495,-3.82,71,3.5,0.762,2
36,-0.495,-3.82,-2.845,-1.92,75,4.011,0.35,2
37,-2.845,-1.92,-4.495,-3.47,34,2.292,1.097,1
38,-4.495,-3.47,-7.145,-8.57,104,6.641,0.35,4
39,-7.145,-8.57,-7.445,-8.87,7,0.424,0.75,0
40,-7.445,-8.87,-5.195,-4.07,97,6.146,0.35,4
41,-5.195,-4.07,-4.095,0.03,83,4.721,0.35,3
42,-4.095,0.03,-6.295,3.13,63,4.011,0.35,2
43,-6.295,3.13,-7.195,4.03,19,1.273,0.82,0
44,-7.195,4.03,-7.445,4.68,14,0.754,1.838,0
45,-7.445,4.68,-8.495,7.03,48,2.785,0.802,1
46,-8.495,7.03,-8.495,3.03,81,4.0,0.8,2
47,-8.495,3.03,-7.495,0.63,49,2.814,0.8,1
48,-7.495,0.63,-8.495,0.68,21,1.021,0.825,0
49,-8.495,0.68,-12.145,-0.22,74,4.023,0.35,2
50,-12.145,-0.22,-12.445,-0.52,7,0.424,0.955,0
51,-12.445,-0.52,-13.945,-0.47,31,1.521,1.312,1
